"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Formacao Savanica","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Pastagem","Area Urbanizada","Silvicultura","Outras Lavouras Temporarias","Rio, Lago e Oceano","Fomacao Campestre","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Afloramento"
"134","SP-3553708-CEBE99BFF56943DF85D47B4BCC07F697","SP",3553708,"2020",4.91,1.64,0,0.06,0.81,2.41,0,0,0,0,0,0,0,0,0,0,0,0
"135","SP-3553708-D4F14A2FF6DA42EA9E15D59F8F57B6A4","SP",3553708,"2020",4.74,3.83,0,0.18,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","SP-3553708-DD040990589F4502BE55DF4E30B3EFCF","SP",3553708,"2020",0.48,0,0,0,0.32,0,0,0,0,0.17,0,0,0,0,0,0,0,0
"137","SP-3553708-DFEE19EE1DAB4088ABE7B5C886ECF753","SP",3553708,"2020",0.42,0.01,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","SP-3553708-E50C78E75E524B3AA2C6066AC4FE482F","SP",3553708,"2020",2.14,1.07,0,0.13,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","SP-3553708-E51EA7DD08D546399EF2AE3287C4ACD3","SP",3553708,"2020",0.68,0.58,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","SP-3553708-E54198ADCEB64A4189267DD5B6CA322A","SP",3553708,"2020",0,0,0,18.52,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","SP-3553708-EB64F2865C5B4374A77FE31919A96F49","SP",3553708,"2020",2.55,1.79,0,0.06,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","SP-3553708-EB6C39204B8F4DB4BCCD5DCE766FCB3B","SP",3553708,"2020",0.08,0.02,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","SP-3553708-EF3B18233C9A4112B4F031A678496534","SP",3553708,"2020",11.79,3.22,0,0.1,8.03,0,0,0,0,0.43,0,0,0,0,0,0,0,0
"144","SP-3553708-F44CB3E2257C41FB909819F720608FC9","SP",3553708,"2020",5.43,3.67,0,0.15,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","SP-3553708-F4D32E294B944997B70D4C734994593A","SP",3553708,"2020",13.8,10.73,0,0.88,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","SP-3553708-F66AFE8DED1D495281CD611D7A4191FB","SP",3553708,"2020",0,0,0,0.02,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","SP-3553708-FE3919987A7A436C95E6C23B8AE037DD","SP",3553708,"2020",2.98,1.56,0,0.55,0.86,0,0,0,0,0.01,0,0,0,0,0,0,0,0
